City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
1932,Zafra,ES,38.4167,-6.4167,51.4,80,100,6.4,overcast clouds
1933,Puerto Madero,MX,14.7208,-92.4215,86.2,66,75,11.5,broken clouds
1934,Seguin,US,29.5688,-97.9647,88.23,23,0,12.66,clear sky
1935,Gejiu,CN,23.306,103.1635,45.68,95,77,2.51,broken clouds
1936,Desaguadero,PE,-16.5656,-69.0417,50.4,69,39,10.42,scattered clouds
1937,Aasiaat,GL,68.7098,-52.8699,19.22,79,59,14.36,broken clouds
1938,Conde,BR,-7.2597,-34.9075,78.26,94,40,4.61,scattered clouds
1939,Blytheville,US,35.9273,-89.919,53.06,37,0,9.22,clear sky
1940,Bodo,NO,67.28,14.405,35.64,90,100,23.02,light intensity drizzle
1941,Mizque,BO,-17.941,-65.3402,64.06,81,47,3.71,scattered clouds
1942,Shache,CN,38.4167,77.2406,50.7,26,27,8.03,scattered clouds
1943,Moss Point,US,30.4116,-88.5345,76.57,65,0,8.05,clear sky
1944,Texarkana,US,33.4251,-94.0477,79.02,41,0,9.22,clear sky
1945,Patur,IN,20.45,76.9333,82.78,19,8,4.47,clear sky
1946,Fare,PF,-16.7,-151.0167,82.13,72,31,13.29,scattered clouds
1947,Puksoozero,RU,62.5903,40.6066,10.83,97,49,6.93,scattered clouds
1948,Miyako,JP,39.6367,141.9525,43.03,64,21,14.94,few clouds
1949,Hare Bay,CA,48.8499,-54.0148,36.75,95,100,12.71,overcast clouds
1950,Tashtyp,RU,52.7939,89.8983,19.76,87,100,2.51,overcast clouds
1951,San Jose,US,37.3394,-121.895,68.0,58,75,18.01,broken clouds
1952,Bonnyville,CA,54.2668,-110.735,30.63,87,94,5.53,overcast clouds
1953,Derzhavinsk,KZ,51.1,66.3167,12.88,99,88,9.93,overcast clouds
1954,Staryy Krym,UA,45.0333,35.1,32.4,64,53,5.5,broken clouds
1955,Maracas,BR,-13.4411,-40.4308,68.52,84,98,10.27,light rain
1956,Tafalla,ES,42.5269,-1.6745,47.28,74,30,4.76,scattered clouds
1957,Libertador General San Martin,AR,-23.8064,-64.7876,72.97,58,0,4.34,clear sky
1958,Nhulunbuy,AU,-12.2333,136.7667,84.81,84,40,4.61,scattered clouds
1959,Herat,AF,34.5,62.0,50.86,35,0,2.46,clear sky
1960,Dubbo,AU,-32.25,148.6167,69.93,78,75,8.05,broken clouds
1961,Ruteng,ID,-8.6136,120.4721,63.43,85,95,0.25,overcast clouds
1962,Miura,JP,35.14,139.6192,59.99,79,97,10.63,overcast clouds
1963,Sheridan,US,44.8333,-106.9173,71.98,22,0,3.44,clear sky
1964,Zasova,CZ,49.4741,18.0444,40.05,47,3,3.65,clear sky
1965,Nha Trang,VN,12.25,109.1833,77.0,89,94,5.28,overcast clouds
1966,Guanare,VE,9.0418,-69.7421,90.45,36,100,3.44,overcast clouds
1967,Binzhou,CN,37.3667,118.0167,42.67,57,3,7.47,clear sky
1968,Guatire,VE,10.4762,-66.5427,73.13,92,88,3.65,overcast clouds
1969,Nampula,MZ,-15.1165,39.2666,70.2,99,100,3.58,overcast clouds
1970,Kommunar,RU,59.6206,30.39,25.36,91,100,11.05,light snow
1971,Otavi,NA,-19.65,17.3333,65.62,39,0,2.37,clear sky
1972,Santa Maria Do Para,BR,-1.3503,-47.5756,74.59,97,100,5.14,light rain
1973,Ahmadpur East,PK,29.1431,71.2598,82.65,11,0,8.79,clear sky
1974,Micheweni,TZ,-4.9667,39.8333,81.48,78,52,6.42,broken clouds
1975,Uige,AO,-7.6087,15.0613,66.99,98,84,3.44,broken clouds
1976,Boende,CD,-0.2167,20.8667,71.29,89,100,1.05,overcast clouds
1977,Arandis,NA,-22.4167,14.9667,67.87,74,2,2.86,clear sky
1978,Laureles,US,26.1092,-97.4941,80.74,53,0,23.02,clear sky
1979,Slupca,PL,52.2873,17.8719,44.02,56,33,8.99,scattered clouds
1980,Kamaishi,JP,39.2667,141.8833,42.46,66,30,14.18,scattered clouds
1981,Novotroitsk,RU,51.203,58.3266,33.76,85,94,16.44,overcast clouds
1982,Nyuksenitsa,RU,60.4128,44.2397,15.04,87,100,12.73,overcast clouds
1983,Tynset,NO,62.2759,10.7824,38.82,71,70,26.31,broken clouds
1984,Biloela,AU,-24.4167,150.5,70.32,78,74,6.02,broken clouds
1985,Mbandaka,CD,0.0487,18.2603,74.52,89,100,3.04,overcast clouds
1986,Lingao,CN,19.9103,109.6859,66.51,86,100,12.48,overcast clouds
1987,Marsh Harbour,BS,26.5412,-77.0636,71.64,50,0,18.3,clear sky
1988,Melbourne,US,28.0836,-80.6081,76.98,37,0,13.8,clear sky
1989,Ariguani,CO,10.25,-74.0,84.42,61,100,4.79,overcast clouds
1990,Matamoros,MX,25.5333,-103.25,88.93,7,51,9.13,broken clouds
1991,Vyshestebliyevskaya,RU,45.1961,37.0181,34.21,49,41,17.56,scattered clouds
1992,Luganville,VU,-15.5333,167.1667,83.62,79,99,4.65,overcast clouds
1993,Nenjiang,CN,49.1833,125.2167,27.09,74,92,7.05,overcast clouds
1994,Mananjary,MG,-21.2167,48.3333,76.71,90,31,6.08,light rain
1995,Upington,ZA,-28.4478,21.2561,78.33,30,0,14.7,clear sky
1996,Ichinohe,JP,40.2069,141.3017,39.56,74,74,14.38,broken clouds
1997,Santiago,CL,-33.4569,-70.6483,76.28,34,75,9.22,broken clouds
1998,Nyazepetrovsk,RU,56.0531,59.6028,32.77,83,100,8.86,overcast clouds
1999,Savanur,IN,14.9667,75.35,75.61,73,43,5.14,scattered clouds
2000,Bijar,IR,35.8668,47.6051,28.69,77,5,8.48,clear sky
2001,Svolvaer,NO,68.2342,14.5683,29.5,93,75,19.57,broken clouds
2002,Kargil,IN,34.5667,76.1,20.84,65,1,2.57,clear sky
2003,Kilindoni,TZ,-7.9139,39.6668,82.96,76,49,8.68,light rain
2004,Kashira,RU,54.8444,38.1669,20.64,77,100,14.56,overcast clouds
2005,Lida,BY,53.8833,25.2997,33.87,59,97,13.91,overcast clouds
2006,Cubuk,TR,40.2386,33.0322,33.26,69,0,1.14,clear sky
2007,Itaqui,BR,-29.1253,-56.5531,69.49,62,0,4.5,clear sky
2008,Las Cruces,US,32.3123,-106.7783,89.71,6,0,11.5,clear sky
2009,Woodward,US,36.4337,-99.3904,63.63,36,0,11.5,clear sky
2010,Murud,IN,18.3258,72.965,76.53,85,9,1.54,clear sky
2011,Tlmace,SK,48.2893,18.5315,47.08,51,3,2.75,clear sky
2012,Suraabad,AZ,40.8192,49.4687,46.58,56,2,14.2,clear sky
2013,Traverse City,US,44.7631,-85.6206,23.2,50,75,12.66,broken clouds
2014,Susangerd,IR,31.5608,48.1831,58.57,27,0,12.03,clear sky
2015,Newburgh,US,41.5034,-74.0104,38.98,56,75,16.11,broken clouds
2016,Akdepe,TM,42.0551,59.3788,45.34,51,65,7.45,broken clouds
2017,Pauini,BR,-7.7136,-66.9764,73.81,99,99,0.85,overcast clouds
2018,West Wendover,US,40.7391,-114.0733,73.87,13,100,17.63,overcast clouds
2019,Andra,RU,62.5147,65.8878,20.32,92,100,16.55,overcast clouds
2020,Corlu,TR,41.1592,27.8,44.58,81,0,2.3,clear sky
2021,Batagay,RU,67.6333,134.6333,-1.35,91,44,3.49,scattered clouds
2022,Velyka Bahachka,UA,49.7912,33.7226,30.18,49,63,9.66,broken clouds
2023,Chernogorsk,RU,53.8236,91.2842,6.37,78,0,2.24,clear sky
2024,Nova Olimpia,BR,-14.7972,-57.2881,76.93,86,88,1.77,overcast clouds
2025,Odienne,CI,9.51,-7.5692,80.15,60,44,2.91,scattered clouds
2026,Sao Sebastiao,BR,-23.76,-45.4097,75.4,94,100,5.23,light rain
2027,Xam Nua,LA,20.4197,104.0439,59.11,96,100,2.26,overcast clouds
2028,Kirkuk,IQ,35.4681,44.3922,45.72,54,0,3.42,clear sky
2029,Riviere-Du-Loup,CA,47.8304,-69.5342,29.8,90,100,4.85,overcast clouds
2030,Marolambo,MG,-20.05,48.1167,71.02,98,66,1.21,light rain
2031,Dhidhdhoo,MV,6.8833,73.1,82.2,71,15,5.46,few clouds
2032,Sainte-Rose,GP,16.3324,-61.6979,77.04,73,20,10.36,few clouds
2033,Aleksandrov Gay,RU,50.147,48.5704,25.38,88,71,13.02,broken clouds
2034,Porbandar,IN,21.6422,69.6093,78.73,64,3,8.32,clear sky
2035,Mareeba,AU,-17.0,145.4333,79.48,70,93,2.8,overcast clouds
2036,Kalashnikovo,RU,57.2824,35.2262,18.39,90,68,8.81,broken clouds
2037,Ardesen,TR,41.1911,40.9875,44.56,85,100,11.1,light rain
2038,Khorixas,NA,-20.3667,14.9667,69.31,66,4,3.74,clear sky
2039,Katima Mulilo,NA,-17.5,24.2667,68.18,82,51,3.53,broken clouds
2040,Ciudad Guayana,VE,8.3533,-62.6528,81.81,62,59,10.04,broken clouds
2041,Zhmerynka,UA,49.037,28.112,30.81,55,79,6.87,broken clouds
2042,Manavalakurichi,IN,8.1333,77.3,78.48,82,0,0.49,clear sky
2043,Issoire,FR,45.55,3.25,47.46,63,13,4.52,few clouds
2044,Kikwit,CD,-5.041,18.8162,73.99,88,89,1.1,overcast clouds
2045,Kroya,ID,-7.6331,109.2461,75.58,90,100,8.55,overcast clouds
2046,Whitley Bay,GB,55.0397,-1.4471,52.2,93,0,0.0,clear sky
2047,Santa Cruz Do Capibaribe,BR,-7.9575,-36.2047,72.19,95,100,4.72,overcast clouds
2048,Moroni,KM,-11.7022,43.2551,80.78,80,100,5.23,overcast clouds
2049,Dongkan,CN,33.9997,119.8308,42.21,72,100,6.15,overcast clouds
2050,Caluquembe,AO,-13.7833,14.6833,62.04,81,92,0.54,overcast clouds
2051,Kimberley,ZA,-28.7323,24.7623,66.87,37,16,9.44,few clouds
2052,Bytow,PL,54.1706,17.4919,43.43,84,11,11.72,few clouds
2053,Colquiri,BO,-17.4167,-67.1333,41.29,79,90,10.0,overcast clouds
2054,Gorontalo,ID,0.5412,123.0595,76.5,91,99,1.5,overcast clouds
2055,Peplos,GR,40.9583,26.2656,42.06,77,0,4.97,clear sky
2056,Jabinyanah,TN,35.035,10.9081,60.33,74,13,13.85,few clouds
2057,Semypolky,UA,50.7167,30.9333,33.94,52,67,8.34,broken clouds
2058,Esna,EG,25.2934,32.554,61.57,11,80,10.65,broken clouds
2059,Hue,VN,16.4667,107.6,71.71,94,75,16.11,mist
2060,Palimbang,PH,6.2106,124.1894,79.39,83,89,5.79,overcast clouds
2061,Tagana-An,PH,9.6972,125.5856,78.94,83,74,9.35,moderate rain
2062,Genteng,ID,-8.3667,114.15,72.43,82,90,3.2,overcast clouds
2063,Nara,JP,34.6851,135.8049,53.49,36,82,8.79,broken clouds
2064,Tucuman,AR,-26.8241,-65.2226,71.6,68,0,2.3,clear sky
2065,Doha,QA,25.2867,51.5333,66.18,45,0,14.97,clear sky
2066,Aksum,ET,14.1245,38.7244,58.26,52,2,9.24,clear sky
2067,Tsabong,BW,-26.0217,22.401,75.69,34,0,8.28,clear sky
2068,Frunze,UA,48.6686,38.7544,29.52,61,100,17.02,overcast clouds
2069,Havelock,US,34.8791,-76.9013,60.94,33,4,10.16,clear sky
2070,Nazas,MX,25.2333,-104.1333,90.01,7,11,7.38,few clouds
2071,Azogues,EC,-2.7333,-78.8333,54.86,97,100,4.05,light rain
2072,Palu,ID,-0.8917,119.8707,76.82,85,99,2.51,overcast clouds
2073,Storforshei,NO,66.4043,14.5233,33.66,93,100,12.66,light snow
2074,Kozluk,TR,38.1938,41.4885,30.45,79,7,6.98,clear sky
2075,Balkanabat,TM,39.5108,54.3671,49.46,59,19,5.5,few clouds
2076,Wakefield,GB,53.6809,-1.499,51.08,88,77,3.85,broken clouds
2077,Minna,NG,9.6139,6.5569,83.64,12,7,6.22,clear sky
2078,Banes,CU,20.9625,-75.7186,73.92,59,66,10.07,broken clouds
2079,Maralal,KE,1.0968,36.698,60.31,86,79,3.67,light rain
2080,Amherst,US,41.3978,-82.2224,29.52,60,100,15.99,overcast clouds
2081,Ola,RU,59.5833,151.2833,11.8,71,100,10.18,overcast clouds
2082,Sembakung,ID,3.8167,117.25,72.5,96,100,1.52,overcast clouds
2083,Kazerun,IR,29.6195,51.6541,51.49,31,0,4.88,clear sky
2084,Denia,ES,38.8408,0.1057,57.79,87,63,5.99,broken clouds
2085,Road Town,VG,18.4167,-64.6167,78.84,73,40,5.75,scattered clouds
2086,Kirov,RU,58.5966,49.6601,17.06,90,100,11.43,light snow
2087,Yuncheng,CN,35.0231,110.9928,44.15,50,1,7.16,clear sky
2088,Clyde,US,41.3042,-82.9752,30.56,52,99,16.22,overcast clouds
2089,Hailar,CN,49.2,119.7,11.46,66,3,6.55,clear sky
2090,Rafsanjan,IR,30.4067,55.9939,58.73,6,0,6.96,clear sky
2091,Vysoke,UA,50.3833,29.5167,30.4,55,86,8.61,overcast clouds
2092,Magan,ES,39.9683,-3.931,54.52,62,88,11.86,overcast clouds
2093,Douglas,US,41.3,-96.167,40.82,31,100,5.75,overcast clouds
2094,Ribeira Brava,PT,32.65,-17.0667,60.06,81,19,4.09,few clouds
2095,Moerai,PF,-22.4333,-151.3333,80.4,74,60,7.02,broken clouds
2096,Rengali,IN,21.6333,84.05,69.26,16,30,2.95,scattered clouds
2097,Hollins,US,37.3413,-79.9431,44.35,39,0,16.11,clear sky
2098,Kalemie,CD,-5.9475,29.1947,69.1,89,87,2.15,light rain
