City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
554,Antalaha,MG,75.06,few clouds,-14.9003,50.2788,Hotel Vitasoa
555,Bowen,AU,78.75,clear sky,-20.0167,148.2333,Castle Motor Lodge Motel
556,Rey Bouba,CM,78.78,scattered clouds,8.6724,14.1786,
559,Saint-Pierre,RE,78.48,overcast clouds,-21.3393,55.4781,Lindsey Hôtel
561,Malindi,KE,79.72,broken clouds,-3.2175,40.1191,African House Resort
567,Dorado,PR,80.49,broken clouds,18.4588,-66.2677,Embassy Suites by Hilton Dorado del Mar Beach Resort
571,Touros,BR,80.1,scattered clouds,-5.1989,-35.4608,INN NEW HORIZON
572,Ugoofaaru,MV,82.63,broken clouds,5.6667,73.0,Ungoofaaru Inn
573,Dawei,MM,75.47,broken clouds,14.0833,98.2,Hotel Dawei
581,Ibipeba,BR,75.52,overcast clouds,-11.6408,-42.0111,Quitanda santos
582,Pflugerville,US,87.67,clear sky,30.4394,-97.62,Comfort Suites Pflugerville - Austin North
589,Itaituba,BR,76.28,overcast clouds,-4.2761,-55.9836,Hotel Campos
595,Edd,ER,76.95,scattered clouds,13.9297,41.6925,
596,Itarema,BR,77.68,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
600,Gamba,GA,77.61,moderate rain,-2.65,10.0,
604,Batticaloa,LK,78.57,clear sky,7.7102,81.6924,Grand Star Guest House
613,Ranong,TH,79.25,scattered clouds,9.9658,98.6348,Tinidee Hotel@Ranong
615,Tete,MZ,80.69,scattered clouds,-16.1564,33.5867,Zambeze Paraíso Misterioso
616,Atar,MR,75.67,overcast clouds,20.5169,-13.0499,Oumou Elghoura
617,Grand-Lahou,CI,80.22,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
618,Oistins,BB,78.89,broken clouds,13.0667,-59.5333,Butterfly Beach Hotel
620,Karratha,AU,81.59,overcast clouds,-20.7377,116.8463,ibis Styles Karratha
621,Biloli,IN,82.18,scattered clouds,18.7667,77.7333,Hotel Santosh
630,Acarau,BR,78.37,overcast clouds,-2.8856,-40.12,castelo pizzaria
634,Galveston,US,82.51,clear sky,29.3669,-94.9669,Crystal Suites
635,Labuhan,ID,78.89,light rain,-6.8844,112.2051,DoubleFAG
640,Thaton,MM,77.54,few clouds,16.9206,97.3714,"Shwe Pyi Soe Guest House, Thaton"
641,Lahij,YE,75.94,clear sky,13.1667,44.5833,
642,Poso,ID,78.98,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
645,Manadhoo,MV,82.65,scattered clouds,5.7667,73.3833,Bon Abri maldives
648,Panaba,MX,80.89,clear sky,21.2833,-88.2667,Hotel California
649,Moranbah,AU,75.58,clear sky,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
650,Port Moresby,PG,80.02,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
651,Ambulu,ID,75.99,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
662,Millbrook,US,75.27,scattered clouds,32.4799,-86.3619,Courtyard by Marriott Montgomery Prattville
664,Samarai,PG,83.16,overcast clouds,-10.6167,150.6667,Nuli Sapi
669,Moju,BR,75.2,moderate rain,-1.8839,-48.7689,HOTEL MARTINS
671,Ascension,US,80.82,clear sky,30.2169,-90.9001,Highland Inn
678,Sambava,MG,76.14,scattered clouds,-14.2667,50.1667,Melrose
679,Aitape,PG,81.93,overcast clouds,-3.1374,142.3475,
684,Benguela,AO,77.49,overcast clouds,-12.5763,13.4055,Hotel Praia Morena
687,Fallon,US,75.07,scattered clouds,39.4735,-118.7774,Best Western Fallon Inn & Suites
697,Nganjuk,ID,75.4,overcast clouds,-7.6051,111.9035,Griya Alifia Family
699,Doka,SD,80.82,clear sky,13.5167,35.7667,Um Rakuba Refugee Camp
707,Saint-Georges,GD,77.14,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
709,Bhola,BD,75.96,clear sky,22.6833,90.65,The Dhonia River Resort
711,Kulhudhuffushi,MV,82.22,scattered clouds,6.6221,73.07,Haajy Guest House 1
712,Morondava,MG,77.36,scattered clouds,-20.2833,44.2833,La Case Bambou
713,Liku,ID,76.37,overcast clouds,-0.7275,119.8922,Wahyu
717,Cap Malheureux,MU,76.46,clear sky,-19.9842,57.6142,Pereybere Hotel & Spa
725,Kirakira,SB,83.82,overcast clouds,-10.4544,161.9205,SanBiz Lodge
727,Durango,MX,80.58,few clouds,24.8333,-104.8333,
734,Sumbe,AO,78.17,overcast clouds,-11.2061,13.8437,Hotel Ritz Sumbe
735,Barao De Melgaco,BR,76.71,broken clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
741,Buta,CD,79.5,overcast clouds,2.7858,24.73,HOTEL BISO NA BISO
747,Isangel,VU,82.62,broken clouds,-19.55,169.2667,Tanna Lodge
749,Omboue,GA,78.84,light rain,-1.5746,9.2618,Hotel Olako
754,Hervey Bay,AU,76.01,broken clouds,-25.2986,152.8535,Shelly Bay Resort
756,Bida,NG,82.87,few clouds,9.0833,6.0167,Royal Suite
757,Alta Floresta,BR,78.62,few clouds,-9.8756,-56.0861,Floresta Amazonica Hotel
766,Lorengau,PG,82.81,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
776,Kalmunai,LK,78.28,few clouds,7.4167,81.8167,VS Villa
786,Bairiki,KI,84.2,scattered clouds,1.3292,172.9752,Tarawa Boutique Hotel
